"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE947307492223";"solar400 1";"In Betrieb";"Solare Strahlungsenergie";"287,5";"273";"12/29/2010";"2/1/2019";"Sachsen";"09648";"Mittweida";"Altenburger Straße";"18 a";"";"";"14522360";"50,986";"12,956";"1250";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"solar400 GmbH & Co. KG";"ABR922891810752";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL933499539853";"EEG906843602237";"E41081010000000000000000000140851";"12/29/2010";"287,5";"";"";"";"";""
"SEE982140864486";"AuerSolarI/I";"In Betrieb";"Solare Strahlungsenergie";"989,4";"875";"12/11/2010";"2/3/2019";"Sachsen-Anhalt";"06198";"Salzatal";"Am Schauchenberg";"3";"";"";"15088319";"51,486613";"11,802551";"4608";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"5/9/2022";"";"";"Auer Solar";"ABR973713974770";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL945203720655";"EEG966469267302";"E41081010000000000000000000158799";"12/11/2010";"989,4";"";"";"";"";""
"SEE900237780105";"39444 Hecklingen";"In Betrieb";"Solare Strahlungsenergie";"747,06";"747,06";"1/31/2019";"2/1/2019";"Sachsen-Anhalt";"39444";"Hecklingen";"Staßfurter Straße";"4";"";"";"15089175";"51,852";"11,544";"2436";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/21/2020";"";"";"Pro Solar Infrastrukturgesellschaft mbH";"ABR928650895732";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL930855180247";"EEG905480216517";"";"1/31/2019";"747,06";"";"";"";"";""
"SEE994799308280";"solar400 2";"In Betrieb";"Solare Strahlungsenergie";"287,5";"262";"12/29/2010";"2/1/2019";"Sachsen";"09648";"Mittweida";"Altenburger Straße";"18 a";"";"";"14522360";"50,986";"12,956";"1250";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"solar400 GmbH & Co. KG";"ABR922891810752";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung; Mittelspannung";"SEL918111377983";"EEG925673608240";"E41081010000000000000000000165516";"12/29/2010";"287,5";"";"";"";"";""
"SEE994872405684";"SP Elsteraue Basis";"In Betrieb";"Solare Strahlungsenergie";"2283,54";"2023";"5/19/2011";"2/1/2019";"Sachsen-Anhalt";"06729";"Elsteraue";"Dr.-Pier-Straße";"";"";"";"15084130";"51,068775";"12,205957";"9996";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"Solarpark Elsteraue GmbH & Co. KG";"ABR948985124215";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL938641335314";"EEG962965671544";"E41081010000000000000000000159269";"5/19/2011";"2283,54";"";"";"";"";""
"SEE933951889212";"SP Elsteraue Erweiterung";"In Betrieb";"Solare Strahlungsenergie";"166,32";"132";"3/31/2014";"2/1/2019";"Sachsen-Anhalt";"06729";"Elsteraue";"Dr.-Pier-Straße";"903 Z";"";"";"15084130";"51,068775";"12,205957";"1584";"Ost";"";"";"";"";"";"";"";"";"Freifläche";"7/6/2021";"";"";"Solarpark Elsteraue GmbH & Co. KG";"ABR948985124215";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL938641335314";"EEG984045616689";"E41081010000000000000000000217487";"3/31/2014";"166,32";"";"";"";"";""
"SEE968686078587";"Freifläche Güsten 1";"In Betrieb";"Solare Strahlungsenergie";"743,7";"679,4";"1/28/2019";"2/2/2019";"Sachsen-Anhalt";"39439";"Güsten";"Ilberstedter Str.";"27";"";"";"15089165";"51,800911";"11,630363";"2220";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"6/4/2021";"";"";"Solarstrom Güsten GbR Rieken und Partner";"ABR957225684587";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL987138270447";"EEG940817652347";"";"1/28/2019";"743,7";"";"";"";"";""
"SEE995587344763";"Auer SolarI/II";"In Betrieb";"Solare Strahlungsenergie";"80,85";"75";"12/7/2011";"2/3/2019";"Sachsen-Anhalt";"06198";"Salzatal";"Am Schauchenberg";"3";"";"";"15088319";"51,486613";"11,802551";"330";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"5/9/2022";"";"";"Auer Solar";"ABR973713974770";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL966058591320";"EEG985450006850";"E41081010000000000000000000178791";"12/7/2011";"80,85";"";"";"";"";""
"SEE924515073239";"Auer Solar II";"In Betrieb";"Solare Strahlungsenergie";"446,88";"400";"11/25/2011";"2/3/2019";"Sachsen-Anhalt";"06198";"Salzatal";"Am Schauchenberg";"3";"";"";"15088319";"51,491611";"11,804932";"1824";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"11/25/2020";"";"";"Auer Solar";"ABR973713974770";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL938865073009";"EEG956370923527";"E41081010000000000000000000176013";"11/25/2011";"446,88";"";"";"";"";""
"SEE901324017296";"Reichenbach, Solarpark zum Sachsenwald";"In Betrieb";"Solare Strahlungsenergie";"1100";"990";"3/31/2015";"2/4/2019";"Sachsen";"08468";"Reichenbach";"";"";"Reichenbach";"517/10";"14523340";"50,640199";"12,324043";"4400";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/30/2019";"";"";"Hayn, Dullenkopf, Hübner, Rudolph GbR";"ABR939938319383";"Volleinspeisung";"";"Stadtwerke Reichenbach/Vogtland GmbH (SNB959567240391)";"SNB959567240391";"Geprüft";"Mittelspannung";"SEL965722638804";"EEG905916618458";"E40227010000000000000000011100001";"3/31/2015";"1100";"";"";"";"";""
"SEE938932430377";"Hof";"In Betrieb";"Solare Strahlungsenergie";"5,2";"5,2";"8/4/2015";"2/4/2019";"Sachsen";"01589";"Riesa";"";"";"";"";"14627230";"";"";"20";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"6/10/2021";"";"";"natürliche Person (ABR918896661611)";"ABR918896661611";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Stadtwerke Riesa GmbH (SNB951305396193)";"SNB951305396193";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL954853247665";"EEG974526821336";"";"8/4/2015";"5,2";"";"";"";"";""
"SEE913906431727";"Freifläche Wolmirstedt (Handwerkerring)";"In Betrieb";"Solare Strahlungsenergie";"749,55";"749,55";"1/31/2019";"2/4/2019";"Sachsen-Anhalt";"39326";"Wolmirstedt";"Handwerkerring";"";"";"";"15083565";"52,254565";"11,639454";"2630";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"2/4/2019";"";"";"FFV GmbH & Co. Calbe KG";"ABR980333585514";"Volleinspeisung";"";"Stadtwerke Wolmirstedt GmbH (SNB971345683381)";"SNB971345683381";"Geprüft";"Mittelspannung";"SEL920991086220";"EEG945296047479";"";"1/31/2019";"749,55";"";"";"";"";""
"SEE998780160123";"PV-Anlage Sergen";"In Betrieb";"Solare Strahlungsenergie";"748,44";"594";"12/14/2017";"2/4/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Sergen";"Flur 1: 174, 175, 176, 177, 178, 180, 181, 182";"12052000";"51,707562";"14,483754";"2772";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/6/2022";"";"";"SP VIII  GmbH & Co.KG";"ABR939206575732";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL910236119424";"EEG907910396554";"E41081010000000000000000000266040";"12/14/2017";"748,44";"";"";"";"";""
"SEE959329377860";"Freifläche Calbe Saale";"In Betrieb";"Solare Strahlungsenergie";"749,79";"749,79";"1/12/2018";"2/4/2019";"Sachsen-Anhalt";"39240";"Calbe";"Gewerbering West";"";"";"";"15089055";"51,89838";"11,75003";"2777";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/25/2019";"";"";"FFV GmbH & Co. Calbe KG";"ABR980333585514";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL989057838210";"EEG926784498782";"E4187802S000000000000095741400001";"1/12/2018";"749,79";"";"";"";"";""
